mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source,datetime,sun_state,distance,timediff,S0,A0,J0,C0,Vavg,Delta_S,Cavg,Delta_C,speed_lag_1,speed_lag_2,speed_lag_3,speed_lag_4,speed_lag_5,speed_lag_6,course_lag_1,course_lag_2,course_lag_3,course_lag_4,course_lag_5,course_lag_6,S0_lag_1,S0_lag_2,S0_lag_3,S0_lag_4,S0_lag_5,S0_lag_6,A0_lag_1,A0_lag_2,A0_lag_3,A0_lag_4,A0_lag_5,A0_lag_6,J0_lag_1,J0_lag_2,J0_lag_3,J0_lag_4,J0_lag_5,J0_lag_6,C0_lag_1,C0_lag_2,C0_lag_3,C0_lag_4,C0_lag_5,C0_lag_6
36212632719018.0,1327479224.0,691367.875,717788.0625,12.5,0.04916666878583333,0.03879808757104755,-0.2813284146525936,NO,false_positives,2012-01-25 08:13:44,1,24.401066189815534,6671.0,0.0036577823699318742,4.4485419462623706e-07,6.643741678290333e-11,-0.00013233065142536518,7.0500000119,5.4499999881,0.4905555566151389,-0.4413888878293056,12.3999996185,12.3999996185,1.6000000238,12.6999998093,1.2999999523,1.3999999762,0.8844444274902779,0.8894444783527777,0.9319444444444445,0.8952777438694445,0.9652777777777778,0.9666666666666667,0.006228339653550222,0.0063589192934869945,0.0006901600375802466,0.0063943661768128815,0.0006795179798922102,0.0006378753872927104,-5.908580992614137e-07,-5.609571661004431e-09,1.6501872674889864e-09,-1.0700976727669025e-08,2.3134773666388773e-07,-8.335948859758298e-09,-2.648183382807282e-09,8.057295563640755e-13,-3.5617545262273026e-11,6.427005944759965e-11,1.3315760306869226e-09,-1.125031753319942e-12,-2.2624664536198566e-05,-9.231311151553634e-07,-5.168760014472527e-06,2.85311520199184e-06,-7.716049382716022e-06,2.3576817558299126e-06
39005622580143.0,1327479305.0,410952.1875,411203.96875,0.400000006,0.016944444179444445,0.03512879254292079,-0.1962944467040895,NO,dalhousie_ps,2012-01-25 08:15:05,2,28.92967639722348,6298.0,0.004593470371105666,-2.595854687908155e-07,5.259965552089524e-11,-0.00013774213771210438,6.399999812249999,-5.99999980625,0.45069443583486135,-0.4337499916554167,12.5,12.3999996185,12.3999996185,1.6000000238,12.6999998093,1.2999999523,0.04916666878583333,0.8844444274902779,0.8894444783527777,0.9319444444444445,0.8952777438694445,0.9652777777777778,0.0036577823699318742,0.006228339653550222,0.0063589192934869945,0.0006901600375802466,0.0063943661768128815,0.0006795179798922102,4.4485419462623706e-07,-5.908580992614137e-07,-5.609571661004431e-09,1.6501872674889864e-09,-1.0700976727669025e-08,2.3134773666388773e-07,6.643741678290333e-11,-2.648183382807282e-09,8.057295563640755e-13,-3.5617545262273026e-11,6.427005944759965e-11,1.3315760306869226e-09,-0.00013233065142536518,-2.2624664536198566e-05,-9.231311151553634e-07,-5.168760014472527e-06,2.85311520199184e-06,-7.716049382716022e-06
79111403404442.0,1327479729.0,23705.95703125,782684.5,0.5,0.9683333502875,1.005612623670549,2.734519958855366,SI,dalhousie_ps,2012-01-25 08:22:09,2,18.415742665411003,33309.0,0.0005528758793542587,-1.3813907556360206e-07,-3.0041405618587655e-12,2.5068300367893563e-05,2.7999999523,-2.2999999523,0.5508333418104167,0.41750000847708335,0.400000006,12.5,12.3999996185,12.3999996185,1.6000000238,12.6999998093,0.016944444179444445,0.04916666878583333,0.8844444274902779,0.8894444783527777,0.9319444444444445,0.8952777438694445,0.004593470371105666,0.0036577823699318742,0.006228339653550222,0.0063589192934869945,0.0006901600375802466,0.0063943661768128815,-2.595854687908155e-07,4.4485419462623706e-07,-5.908580992614137e-07,-5.609571661004431e-09,1.6501872674889864e-09,-1.0700976727669025e-08,5.259965552089524e-11,6.643741678290333e-11,-2.648183382807282e-09,8.057295563640755e-13,-3.5617545262273026e-11,6.427005944759965e-11,-0.00013774213771210438,-0.00013233065142536518,-2.2624664536198566e-05,-9.231311151553634e-07,-5.168760014472527e-06,2.85311520199184e-06
79111403404442.0,1327480050.0,23705.95703125,782684.5,0.8000000119,0.9480555216472223,1.0056289355317007,2.7345106377918507,SI,dalhousie_ps,2012-01-25 08:27:30,1,0.11232825810523964,321.0,0.00034993226824062194,-6.322230875814227e-07,-1.5392025296505318e-09,-6.31708057329524e-05,0.65000000595,0.15000000595000001,0.9581944359673611,-0.010138914320138859,0.5,0.400000006,12.5,12.3999996185,12.3999996185,1.6000000238,0.9683333502875,0.016944444179444445,0.04916666878583333,0.8844444274902779,0.8894444783527777,0.9319444444444445,0.0005528758793542587,0.004593470371105666,0.0036577823699318742,0.006228339653550222,0.0063589192934869945,0.0006901600375802466,-1.3813907556360206e-07,-2.595854687908155e-07,4.4485419462623706e-07,-5.908580992614137e-07,-5.609571661004431e-09,1.6501872674889864e-09,-3.0041405618587655e-12,5.259965552089524e-11,6.643741678290333e-11,-2.648183382807282e-09,8.057295563640755e-13,-3.5617545262273026e-11,2.5068300367893563e-05,-0.00013774213771210438,-0.00013233065142536518,-2.2624664536198566e-05,-9.231311151553634e-07,-5.168760014472527e-06
36212632719018.0,1328687643.0,497003.875,615605.75,12.5,0.28583333757194446,-0.006982160792640183,0.02198195634134666,NO,false_positives,2012-02-08 07:54:03,1,13.000351195022507,2037.0,0.006382106624949684,-7.012584414688801e-08,-2.597252203655683e-09,2.94550789206622e-05,12.65000009535,-0.15000009535000025,0.2558333396912499,0.02999999788069445,12.8000001907,12.6999998093,11.3999996185,11.1999998093,11.6999998093,11.6000003815,0.22583334181055556,0.22111110687250002,0.49472223917638886,0.49277776082361113,0.0625,0.06527777777777778,0.006524952969476895,0.003288257294763057,0.005859034365228354,0.00035211140599053064,0.006036186334390324,0.006034046171220004,5.220476894699739e-06,-8.231754948656089e-07,3.059401644021013e-05,-5.7796429228587894e-09,1.9280749282166115e-08,5.705155951897105e-06,9.747826434782819e-09,-1.0059939780683873e-08,1.6999886712851658e-07,-4.374522505521361e-13,-5.122410092445891e-08,1.1615940603924233e-08,7.616507964605713e-06,-8.761163378286546e-05,1.0802657515431796e-05,2.715553300925926e-05,-2.502502502502506e-05,-1.8308078399621195e-05
192803403297411.0,1328687743.0,238761.8125,282411.1875,14.8000001907,0.749166700575,0.014188072891379145,2.60534972176818,NO,dalhousie_ps,2012-02-08 07:55:43,2,94.36083807571143,25911.0,0.003641728921142041,5.449378474146994e-08,3.630519560910314e-11,-8.501321595825882e-06,8.35000008345,6.45000010725,0.8593055725097223,-0.11013887193472222,12.5,12.8000001907,12.6999998093,11.3999996185,11.1999998093,11.6999998093,0.28583333757194446,0.22583334181055556,0.22111110687250002,0.49472223917638886,0.49277776082361113,0.0625,0.006382106624949684,0.006524952969476895,0.003288257294763057,0.005859034365228354,0.00035211140599053064,0.006036186334390324,-7.012584414688801e-08,5.220476894699739e-06,-8.231754948656089e-07,3.059401644021013e-05,-5.7796429228587894e-09,1.9280749282166115e-08,-2.597252203655683e-09,9.747826434782819e-09,-1.0059939780683873e-08,1.6999886712851658e-07,-4.374522505521361e-13,-5.122410092445891e-08,2.94550789206622e-05,7.616507964605713e-06,-8.761163378286546e-05,1.0802657515431796e-05,2.715553300925926e-05,-2.502502502502506e-05
79111403404442.0,1328688483.0,154867.109375,638421.5,4.0,0.23083332909472223,1.0096003745073767,2.712212256300972,SI,dalhousie_ps,2012-02-08 08:08:03,2,9.890372916491962,21988.0,0.00044980775497962356,-1.1005346909182317e-08,1.6981438246297861e-10,-3.213874253707831e-05,2.60000002385,1.3999999761500002,0.5841666645473612,-0.3533333354526389,14.8000001907,12.5,12.8000001907,12.6999998093,11.3999996185,11.1999998093,0.749166700575,0.28583333757194446,0.22583334181055556,0.22111110687250002,0.49472223917638886,0.49277776082361113,0.003641728921142041,0.006382106624949684,0.006524952969476895,0.003288257294763057,0.005859034365228354,0.00035211140599053064,5.449378474146994e-08,-7.012584414688801e-08,5.220476894699739e-06,-8.231754948656089e-07,3.059401644021013e-05,-5.7796429228587894e-09,3.630519560910314e-11,-2.597252203655683e-09,9.747826434782819e-09,-1.0059939780683873e-08,1.6999886712851658e-07,-4.374522505521361e-13,-8.501321595825882e-06,2.94550789206622e-05,7.616507964605713e-06,-8.761163378286546e-05,1.0802657515431796e-05,2.715553300925926e-05
83171028160219.0,1339847639.0,1979212.875,2057840.125,10.0,0.07916666666666666,0.10909849129415786,-2.262035234059558,NO,gfw,2012-06-16 11:53:59,2,14.596720227793842,3831.0,0.0038101592868164556,-9.444053760411548e-09,8.349469728921143e-11,-5.075558766930615e-07,10.0,0.0,0.08013888994847175,-0.0009722232818055593,0.8000000119,11.0,10.6999998093,10.0,10.3999996185,10.6999998093,0.6405555725097222,0.9466666327583334,0.9269444783527777,0.08111111323027778,0.08194444444444444,0.8883332994250001,0.0002534364667866583,0.005627682573481587,0.005528450246267658,0.0038463394567725922,0.003931631326693116,0.005526875482810941,-4.834377032465339e-07,1.6294306603272415e-07,8.891944984285504e-10,-3.2931223907538053e-07,-1.0149792666197409e-07,7.628299890401393e-08,-8.974160753214556e-11,2.6609831122216024e-10,-4.257131812850671e-11,-8.795919398201021e-10,-2.285953169579649e-11,3.721807507468745e-11,2.5108891900140915e-05,3.238448999270228e-05,2.180190792082307e-05,-3.2174950353925223e-06,-1.0464625116273652e-06,-2.418856198111728e-06
10880510825243.0,1339848024.0,313262.1875,479251.21875,0.6999999881,0.6191666497125,0.06756184188428982,2.6081582914528503,NO,dalhousie_ps,2012-06-16 12:00:24,2,0.6977784513048181,1790.0,0.00038982036385744025,7.619212126859326e-08,3.126423600643169e-10,-1.1949118881129696e-05,0.7499999999999991,-0.05000001190000003,0.629861111111111,-0.010694461398611077,10.0,0.8000000119,11.0,10.6999998093,10.0,10.3999996185,0.07916666666666666,0.6405555725097222,0.9466666327583334,0.9269444783527777,0.08111111323027778,0.08194444444444444,0.0038101592868164556,0.0002534364667866583,0.005627682573481587,0.005528450246267658,0.0038463394567725922,0.003931631326693116,-9.444053760411548e-09,-4.834377032465339e-07,1.6294306603272415e-07,8.891944984285504e-10,-3.2931223907538053e-07,-1.0149792666197409e-07,8.349469728921143e-11,-8.974160753214556e-11,2.6609831122216024e-10,-4.257131812850671e-11,-8.795919398201021e-10,-2.285953169579649e-11,-5.075558766930615e-07,2.5108891900140915e-05,3.238448999270228e-05,2.180190792082307e-05,-3.2174950353925223e-06,-1.0464625116273652e-06
79111403404442.0,1339849169.0,38117.30078125,384823.0,0.1000000015,0.8791666666666667,0.9005858060770122,2.725181850808894,SI,dalhousie_ps,2012-06-16 12:19:29,1,1.0681174690292725,11300.0,9.452366982559934e-05,-2.141278514731601e-09,1.121870250945305e-12,2.1951819825909535e-05,0.15000000225,-0.05000000075,0.7551388846502778,0.12402778201638887,0.6999999881,10.0,0.8000000119,11.0,10.6999998093,10.0,0.6191666497125,0.07916666666666666,0.6405555725097222,0.9466666327583334,0.9269444783527777,0.08111111323027778,0.00038982036385744025,0.0038101592868164556,0.0002534364667866583,0.005627682573481587,0.005528450246267658,0.0038463394567725922,7.619212126859326e-08,-9.444053760411548e-09,-4.834377032465339e-07,1.6294306603272415e-07,8.891944984285504e-10,-3.2931223907538053e-07,3.126423600643169e-10,8.349469728921143e-11,-8.974160753214556e-11,2.6609831122216024e-10,-4.257131812850671e-11,-8.795919398201021e-10,-1.1949118881129696e-05,-5.075558766930615e-07,2.5108891900140915e-05,3.238448999270228e-05,2.180190792082307e-05,-3.2174950353925223e-06
